train_dataset	test_dataset	method_label	balanced_accuracy_pct	roc_auc_pct	predicted_positive_rate_pct	observed_positive_rate_pct	median_score_negative	median_score_positive	source_block	calibration_label
GSE65682	GSE154918	"Standard z-score
(train ref)"	50.0	99.87179487179489	0.0	49.36708860759494	1.4027920541007368e-44	1.4925337497041455e-38	cross_platform_readout	No post hoc calibration
GSE65682	GSE154918	"Robust scale
(train ref)"	50.0	99.87179487179489	0.0	49.36708860759494	8.763963693389875e-28	2.6323162036039673e-22	cross_platform_readout	No post hoc calibration
GSE65682	GSE154918	Sample rank + z-score	97.43589743589745	98.78205128205127	46.83544303797468	49.36708860759494	0.0124853581057912	0.9970733700286089	cross_platform_readout	No post hoc calibration
GSE65682	GSE154918	"Robust scale
(external ref)"	94.90384615384616	99.23076923076924	46.83544303797468	49.36708860759494	0.0086084683317024	0.9999161707825946	cross_platform_readout	No post hoc calibration
GSE65682	GSE154918	"Standard z-score
(train ref)"	50.0	99.87179487179489	0.0	49.36708860759494	1.4027920541007368e-44	1.4925337497041455e-38	cross_platform_calibration	No post hoc calibration
GSE65682	GSE154918	"Standard z-score
(train ref)"	50.0	99.87179487179489	0.0	49.36708860759494	1.3962975182188166e-17	3.1595833430123996e-15	cross_platform_calibration	Sigmoid
GSE65682	GSE154918	"Standard z-score
(train ref)"	50.0	50.0	0.0	49.36708860759494	0.0	0.0	cross_platform_calibration	Isotonic
GSE65682	GSE154918	"Robust scale
(train ref)"	50.0	99.87179487179489	0.0	49.36708860759494	8.763963693389875e-28	2.6323162036039673e-22	cross_platform_calibration	No post hoc calibration
GSE65682	GSE154918	"Robust scale
(train ref)"	50.0	99.87179487179489	0.0	49.36708860759494	1.72730312046479e-12	4.3896925619964275e-10	cross_platform_calibration	Sigmoid
GSE65682	GSE154918	"Robust scale
(train ref)"	50.0	50.0	0.0	49.36708860759494	0.0	0.0	cross_platform_calibration	Isotonic
GSE65682	GSE154918	Sample rank + z-score	97.43589743589745	98.78205128205127	46.83544303797468	49.36708860759494	0.0124853581057912	0.9970733700286089	cross_platform_calibration	No post hoc calibration
GSE65682	GSE154918	Sample rank + z-score	96.21794871794872	98.78205128205127	50.63291139240506	49.36708860759494	0.2635506968954891	0.953048998736116	cross_platform_calibration	Sigmoid
GSE65682	GSE154918	Sample rank + z-score	93.71794871794872	98.78205128205127	53.16455696202531	49.36708860759494	0.0920333696768645	1.0	cross_platform_calibration	Isotonic
GSE65682	GSE154918	"Robust scale
(external ref)"	94.90384615384616	99.23076923076924	46.83544303797468	49.36708860759494	0.0086084683317024	0.9999161707825946	cross_platform_calibration	No post hoc calibration
GSE65682	GSE154918	"Robust scale
(external ref)"	96.18589743589745	99.23076923076924	48.10126582278481	49.36708860759494	0.1395522789696853	0.9876982783179934	cross_platform_calibration	Sigmoid
GSE65682	GSE154918	"Robust scale
(external ref)"	94.93589743589745	98.26923076923077	49.36708860759494	49.36708860759494	0.0	1.0	cross_platform_calibration	Isotonic
