task_id	dataset_id	method	metric	estimate	ci_lower	ci_upper	n_samples	n_positive	n_negative	threshold	n_bootstrap
task_a	GSE154918	cohort_robust_scale	average_precision	0.9930846336631168	0.9794391308114133	1.0	79	39	40	0.5	2000
task_a	GSE154918	cohort_robust_scale	balanced_accuracy	0.9490384615384615	0.898076923076923	0.9875	79	39	40	0.5	2000
task_a	GSE154918	cohort_robust_scale	brier_score	0.030219202468782347	0.0047174752778910605	0.06566756745386132	79	39	40	0.5	2000
task_a	GSE154918	cohort_robust_scale	predicted_positive_rate	0.46835443037974683	0.4177215189873418	0.5189873417721519	79	39	40	0.5	2000
task_a	GSE154918	cohort_robust_scale	roc_auc	0.9923076923076923	0.9762660256410256	1.0	79	39	40	0.5	2000
task_a	GSE154918	sample_rank_zscore	average_precision	0.9909340659340661	0.9729075955491052	1.0	79	39	40	0.5	2000
task_a	GSE154918	sample_rank_zscore	balanced_accuracy	0.9743589743589743	0.9358974358974359	1.0	79	39	40	0.5	2000
task_a	GSE154918	sample_rank_zscore	brier_score	0.028222604261842983	0.005265690139764702	0.06129219848340824	79	39	40	0.5	2000
task_a	GSE154918	sample_rank_zscore	predicted_positive_rate	0.46835443037974683	0.43037974683544306	0.4936708860759494	79	39	40	0.5	2000
task_a	GSE154918	sample_rank_zscore	roc_auc	0.9878205128205128	0.9615384615384617	1.0	79	39	40	0.5	2000
task_a	GSE154918	standard_zscore	average_precision	0.9987015121630508	0.9936207595963694	1.0000000000000002	79	39	40	0.5	2000
task_a	GSE154918	standard_zscore	balanced_accuracy	0.5	0.5	0.5	79	39	40	0.5	2000
task_a	GSE154918	standard_zscore	brier_score	0.4936708860759494	0.4936708860759494	0.4936708860759494	79	39	40	0.5	2000
task_a	GSE154918	standard_zscore	predicted_positive_rate	0.0	0.0	0.0	79	39	40	0.5	2000
task_a	GSE154918	standard_zscore	roc_auc	0.9987179487179487	0.9935897435897436	1.0	79	39	40	0.5	2000
task_a	GSE28750	cohort_robust_scale	average_precision	0.9999999999999999	0.9999999999999999	1.0	30	10	20	0.5	2000
task_a	GSE28750	cohort_robust_scale	balanced_accuracy	1.0	1.0	1.0	30	10	20	0.5	2000
task_a	GSE28750	cohort_robust_scale	brier_score	0.004655906806341268	0.0008512755650359465	0.009367274506078277	30	10	20	0.5	2000
task_a	GSE28750	cohort_robust_scale	predicted_positive_rate	0.3333333333333333	0.3333333333333333	0.3333333333333333	30	10	20	0.5	2000
task_a	GSE28750	cohort_robust_scale	roc_auc	1.0	1.0	1.0	30	10	20	0.5	2000
task_a	GSE28750	sample_rank_zscore	average_precision	0.9999999999999999	0.9999999999999999	1.0	30	10	20	0.5	2000
task_a	GSE28750	sample_rank_zscore	balanced_accuracy	0.95	0.85	1.0	30	10	20	0.5	2000
task_a	GSE28750	sample_rank_zscore	brier_score	0.016503746194896755	6.915652995077982e-06	0.04604236864773208	30	10	20	0.5	2000
task_a	GSE28750	sample_rank_zscore	predicted_positive_rate	0.3	0.23333333333333334	0.3333333333333333	30	10	20	0.5	2000
task_a	GSE28750	sample_rank_zscore	roc_auc	1.0	1.0	1.0	30	10	20	0.5	2000
task_a	GSE28750	standard_zscore	average_precision	0.9999999999999999	0.9999999999999999	1.0	30	10	20	0.5	2000
task_a	GSE28750	standard_zscore	balanced_accuracy	0.5	0.5	0.5	30	10	20	0.5	2000
task_a	GSE28750	standard_zscore	brier_score	0.33333132971468415	0.3333289424394694	0.3333330268201453	30	10	20	0.5	2000
task_a	GSE28750	standard_zscore	predicted_positive_rate	0.0	0.0	0.0	30	10	20	0.5	2000
task_a	GSE28750	standard_zscore	roc_auc	1.0	1.0	1.0	30	10	20	0.5	2000
task_a	GSE95233	cohort_robust_scale	average_precision	1.0	0.9999999999999999	1.0000000000000002	73	51	22	0.5	2000
task_a	GSE95233	cohort_robust_scale	balanced_accuracy	0.9607843137254901	0.9215686274509804	0.9901960784313726	73	51	22	0.5	2000
task_a	GSE95233	cohort_robust_scale	brier_score	0.04308124134347594	0.010288123769581508	0.08410055372088356	73	51	22	0.5	2000
task_a	GSE95233	cohort_robust_scale	predicted_positive_rate	0.6438356164383562	0.589041095890411	0.684931506849315	73	51	22	0.5	2000
task_a	GSE95233	cohort_robust_scale	roc_auc	1.0	0.9999999999999999	1.0	73	51	22	0.5	2000
task_a	GSE95233	sample_rank_zscore	average_precision	1.0	0.9999999999999999	1.0000000000000002	73	51	22	0.5	2000
task_a	GSE95233	sample_rank_zscore	balanced_accuracy	1.0	1.0	1.0	73	51	22	0.5	2000
task_a	GSE95233	sample_rank_zscore	brier_score	0.0013884296112612166	9.159673046658812e-05	0.0033768546023133974	73	51	22	0.5	2000
task_a	GSE95233	sample_rank_zscore	predicted_positive_rate	0.6986301369863014	0.6986301369863014	0.6986301369863014	73	51	22	0.5	2000
task_a	GSE95233	sample_rank_zscore	roc_auc	1.0	0.9999999999999999	1.0	73	51	22	0.5	2000
task_a	GSE95233	standard_zscore	average_precision	1.0	0.9999999999999999	1.0000000000000002	73	51	22	0.5	2000
task_a	GSE95233	standard_zscore	balanced_accuracy	0.5	0.5	0.5	73	51	22	0.5	2000
task_a	GSE95233	standard_zscore	brier_score	0.6986171750623281	0.6986102612435079	0.6986226818558606	73	51	22	0.5	2000
task_a	GSE95233	standard_zscore	predicted_positive_rate	0.0	0.0	0.0	73	51	22	0.5	2000
task_a	GSE95233	standard_zscore	roc_auc	1.0	0.9999999999999999	1.0	73	51	22	0.5	2000
task_b	GSE28750	cohort_robust_scale	average_precision	0.8773684210526315	0.7206349206349206	1.0	21	10	11	0.5	2000
task_b	GSE28750	cohort_robust_scale	balanced_accuracy	0.8045454545454545	0.6136363636363636	0.95	21	10	11	0.5	2000
task_b	GSE28750	cohort_robust_scale	brier_score	0.15848203205639702	0.036678238563226606	0.3050733655470433	21	10	11	0.5	2000
task_b	GSE28750	cohort_robust_scale	predicted_positive_rate	0.38095238095238093	0.23809523809523808	0.5238095238095238	21	10	11	0.5	2000
task_b	GSE28750	cohort_robust_scale	roc_auc	0.8000000000000002	0.5363636363636364	1.0	21	10	11	0.5	2000
task_b	GSE28750	sample_rank_zscore	average_precision	0.88	0.7243268403852768	1.0	21	10	11	0.5	2000
task_b	GSE28750	sample_rank_zscore	balanced_accuracy	0.7	0.55	0.85	21	10	11	0.5	2000
task_b	GSE28750	sample_rank_zscore	brier_score	0.27387834282331613	0.13642594892112425	0.4108645507734642	21	10	11	0.5	2000
task_b	GSE28750	sample_rank_zscore	predicted_positive_rate	0.19047619047619047	0.047619047619047616	0.3333333333333333	21	10	11	0.5	2000
task_b	GSE28750	sample_rank_zscore	roc_auc	0.8090909090909092	0.5636363636363636	1.0	21	10	11	0.5	2000
task_b	GSE28750	standard_zscore	average_precision	0.9087301587301587	0.7821745852187028	1.0	21	10	11	0.5	2000
task_b	GSE28750	standard_zscore	balanced_accuracy	0.5	0.5	0.5	21	10	11	0.5	2000
task_b	GSE28750	standard_zscore	brier_score	0.4761904752880032	0.4761904735858788	0.47619047618170773	21	10	11	0.5	2000
task_b	GSE28750	standard_zscore	predicted_positive_rate	0.0	0.0	0.0	21	10	11	0.5	2000
task_b	GSE28750	standard_zscore	roc_auc	0.8727272727272727	0.6727272727272727	1.0	21	10	11	0.5	2000
